Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
,10000," 432,019,708 "," 8,964,732 "
"Under $10,000",10000," 402,917 "," 1,709,042 "
"$10,000 under $25,000",10000," 9,052,144 "," 1,937,269 "
"$25,000 under $50,000",10000," 41,996,098 "," 2,082,897 "
"$50,000 under $75,000",10000," 47,930,498 "," 1,199,902 "
"$75,000 under $100,000",10000," 43,406,930 "," 736,581 "
"$100,000 under $200,000",10000," 90,752,418 "," 944,056 "
"$200,000 or more",10000," 198,478,702 "," 354,985 "
,,,
,00501, 966 , 259 
"Under $10,000",00501, -   , 131 
"$10,000 under $25,000",00501, 371 , 105 
"$25,000 under $50,000",00501, 595 , 23 
"$50,000 under $75,000",00501, . , * 
"$75,000 under $100,000",00501, . , * 
"$100,000 under $200,000",00501, . , * 
"$200,000 or more",00501, . , . 
,,,
,10001," 1,206,585 "," 12,534 "
"Under $10,000",10001, 375 ," 2,128 "
"$10,000 under $25,000",10001," 12,290 "," 2,152 "
"$25,000 under $50,000",10001," 62,432 "," 2,646 "
"$50,000 under $75,000",10001," 78,255 "," 1,706 "
"$75,000 under $100,000",10001," 68,482 "," 1,041 "
"$100,000 under $200,000",10001," 172,448 "," 1,579 "
"$200,000 or more",10001," 812,303 "," 1,282 "
,,,
,10002," 1,138,419 "," 45,236 "
"Under $10,000",10002," 1,114 "," 15,179 "
"$10,000 under $25,000",10002," 41,858 "," 12,517 "
"$25,000 under $50,000",10002," 180,041 "," 8,576 "
"$50,000 under $75,000",10002," 176,933 "," 3,969 "
"$75,000 under $100,000",10002," 121,846 "," 1,876 "
"$100,000 under $200,000",10002," 231,679 "," 2,179 "
"$200,000 or more",10002," 384,950 ", 940 
,,,
,10003," 4,310,897 "," 28,817 "
"Under $10,000",10003, 935 ," 3,737 "
"$10,000 under $25,000",10003," 21,101 "," 3,183 "
"$25,000 under $50,000",10003," 124,686 "," 5,033 "
"$50,000 under $75,000",10003," 202,469 "," 4,415 "
"$75,000 under $100,000",10003," 188,126 "," 2,871 "
"$100,000 under $200,000",10003," 566,531 "," 5,233 "
"$200,000 or more",10003," 3,207,049 "," 4,345 "
,,,
,10004," 819,451 "," 1,967 "
"Under $10,000",10004, 88 , 227 
"$10,000 under $25,000",10004," 1,087 ", 148 
"$25,000 under $50,000",10004," 6,094 ", 249 
"$50,000 under $75,000",10004," 10,295 ", 229 
"$75,000 under $100,000",10004," 11,992 ", 189 
"$100,000 under $200,000",10004," 43,178 ", 396 
"$200,000 or more",10004," 746,716 ", 529 
,,,
,10005," 2,268,203 "," 4,697 "
"Under $10,000",10005, 297 , 522 
"$10,000 under $25,000",10005," 3,524 ", 403 
"$25,000 under $50,000",10005," 19,063 ", 722 
"$50,000 under $75,000",10005," 27,377 ", 588 
"$75,000 under $100,000",10005," 28,074 ", 413 
"$100,000 under $200,000",10005," 105,345 ", 943 
"$200,000 or more",10005," 2,084,523 "," 1,106 "
,,,
,10006," 321,818 "," 2,236 "
"Under $10,000",10006, 57 , 216 
"$10,000 under $25,000",10006," 1,445 ", 181 
"$25,000 under $50,000",10006," 9,064 ", 342 
"$50,000 under $75,000",10006," 16,979 ", 356 
"$75,000 under $100,000",10006," 15,940 ", 236 
"$100,000 under $200,000",10006," 52,163 ", 462 
"$200,000 or more",10006," 226,170 ", 443 
,,,
,10007," 1,301,023 "," 3,551 "
"Under $10,000",10007, 104 , 407 
"$10,000 under $25,000",10007," 1,622 ", 282 
"$25,000 under $50,000",10007," 8,659 ", 366 
"$50,000 under $75,000",10007," 12,346 ", 276 
"$75,000 under $100,000",10007," 14,729 ", 228 
"$100,000 under $200,000",10007," 75,235 ", 663 
"$200,000 or more",10007," 1,188,327 "," 1,329 "
,,,
,10008," 25,105 ", 550 
"Under $10,000",10008, -   , 52 
"$10,000 under $25,000",10008, 430 , 72 
"$25,000 under $50,000",10008," 3,824 ", 159 
"$50,000 under $75,000",10008," 5,760 ", 134 
"$75,000 under $100,000",10008," 3,168 ", 50 
"$100,000 under $200,000",10008," 5,839 ", 61 
"$200,000 or more",10008," 6,082 ", 22 
,,,
,10009," 1,450,998 "," 31,275 "
"Under $10,000",10009, 743 ," 5,139 "
