Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
15636836,1/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,3+ Family Mixed Use Building,11418,117-01 PARK LANE SOUTH,PARK LANE SOUTH,METROPOLITAN AVENUE,ABINGDON ROAD,,,ADDRESS,RICHMOND HILL,,N/A,Assigned,2/1/10 0:00,1/8/10 0:00,82 QUEENS,QUEENS,1029422,197303,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70811261,-73.83706943,"(40.70811260705003, -73.83706942923195)"
15636847,1/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11105,20-40 31 STREET,31 STREET,20 ROAD,21 AVENUE,,,ADDRESS,ASTORIA,,N/A,Assigned,2/1/10 0:00,1/8/10 0:00,01 QUEENS,QUEENS,1009913,223064,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77889816,-73.90733794,"(40.77889816403281, -73.90733794291764)"
15637740,1/2/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11420,117-72 123 STREET,123 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,ADDRESS,SOUTH OZONE PARK,,N/A,Assigned,2/1/10 0:00,1/8/10 0:00,10 QUEENS,QUEENS,1035680,185324,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67519893,-73.81458901,"(40.67519892874634, -73.81458900922769)"
15641692,1/3/10 0:00,1/6/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11104,40-20 50 AVENUE,50 AVENUE,40 STREET,41 STREET,,,ADDRESS,SUNNYSIDE,,N/A,Closed,2/2/10 0:00,1/6/10 0:00,02 QUEENS,QUEENS,1004999,208184,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73806929,-73.92512696,"(40.738069286045935, -73.92512696322414)"
15640865,1/3/10 0:00,1/15/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11104,40-20 50 AVENUE,50 AVENUE,40 STREET,41 STREET,,,ADDRESS,SUNNYSIDE,,N/A,Closed,2/2/10 0:00,1/15/10 0:00,02 QUEENS,QUEENS,1004999,208184,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73806929,-73.92512696,"(40.738069286045935, -73.92512696322414)"
15641064,1/3/10 0:00,1/21/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11105,20-40 31 STREET,31 STREET,20 ROAD,21 AVENUE,,,ADDRESS,ASTORIA,,N/A,Closed,2/2/10 0:00,1/21/10 0:00,01 QUEENS,QUEENS,1009913,223064,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77889816,-73.90733794,"(40.77889816403281, -73.90733794291764)"
15648724,1/4/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11238,479 PARK PLACE,PARK PLACE,GRAND AVENUE,CLASSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,2/3/10 0:00,1/8/10 0:00,08 BROOKLYN,BROOKLYN,994827,185295,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67526241,-73.9618687,"(40.675262407379606, -73.96186870477167)"
15658720,1/5/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10305,101 LYNHURST AVENUE,LYNHURST AVENUE,ANDERSON STREET,LANGERE PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,2/4/10 0:00,1/8/10 0:00,01 STATEN ISLAND,STATEN ISLAND,964468,164170,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.61726308,-74.07125441,"(40.61726308199942, -74.07125441283439)"
15670207,1/6/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10472,1691 EAST 174 STREET,EAST 174 STREET,FTELEY AVENUE,CROES AVENUE,,,ADDRESS,BRONX,,N/A,Assigned,2/5/10 0:00,1/8/10 0:00,09 BRONX,BRONX,1019600,243325,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83447552,-73.8722542,"(40.83447552234542, -73.87225419756115)"
15671423,1/6/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10003,242 EAST 14 STREET,EAST 14 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,2/5/10 0:00,1/8/10 0:00,03 MANHATTAN,MANHATTAN,988081,206278,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7328613,-73.98617687,"(40.73286129572565, -73.9861768686895)"
15669829,1/6/10 0:00,1/22/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11210,4014 AVENUE I,AVENUE I,EAST 40 STREET,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,2/5/10 0:00,1/22/10 0:00,18 BROOKLYN,BROOKLYN,1001600,168779,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62991892,-73.93749376,"(40.629918915712324, -73.93749375855319)"
15686366,1/8/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11378,55-05 ARNOLD AVENUE,ARNOLD AVENUE,55 STREET,56 STREET,,,ADDRESS,MASPETH,,N/A,Assigned,2/7/10 0:00,1/8/10 0:00,05 QUEENS,QUEENS,1009331,199589,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71446689,-73.90952693,"(40.71446689012003, -73.90952692835079)"
15706307,1/11/10 0:00,1/12/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11106,34-41 28 STREET,28 STREET,34 AVENUE,35 AVENUE,,,ADDRESS,ASTORIA,,N/A,Closed,2/10/10 0:00,1/12/10 0:00,01 QUEENS,QUEENS,1003591,216217,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76012103,-73.93018464,"(40.76012103104483, -73.93018464443372)"
15703385,1/11/10 0:00,1/25/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11379,69-80 JUNIPER BLVD SOUTH,JUNIPER BLVD SOUTH,69 LANE,70 STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Closed,2/10/10 0:00,1/25/10 0:00,05 QUEENS,QUEENS,1016008,200502,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71695141,-73.88543713,"(40.716951406517005, -73.88543713477206)"
15705497,1/11/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10312,591 BARLOW AVENUE,BARLOW AVENUE,ELTINGVILLE BOULEVARD,BARTLETT AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,2/10/10 0:00,1/11/10 0:00,03 STATEN ISLAND,STATEN ISLAND,937729,142328,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.55721121,-74.16741729,"(40.55721120821762, -74.16741728505964)"
15704891,1/11/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11103,28-40 49 STREET,49 STREET,28 AVENUE,30 AVENUE,,,ADDRESS,ASTORIA,,N/A,Assigned,2/10/10 0:00,1/11/10 0:00,01 QUEENS,QUEENS,1009939,216612,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76118904,-73.90726873,"(40.76118903848154, -73.9072687259042)"
15705007,1/11/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10303,18 SANDERS STREET,SANDERS STREET,FOREST AVENUE,MONSEY PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,2/10/10 0:00,1/11/10 0:00,01 STATEN ISLAND,STATEN ISLAND,942182,167005,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62496677,-74.15154574,"(40.624966768175376, -74.15154573786515)"
15715700,1/12/10 0:00,2/1/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10467,2410 BARKER AVENUE,BARKER AVENUE,WARING AVENUE,MACE AVENUE,,,ADDRESS,BRONX,,N/A,Closed,2/11/10 0:00,2/1/10 0:00,11 BRONX,BRONX,1020372,253279,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86179316,-73.86941077,"(40.861793161634004, -73.86941076680615)"
15724277,1/13/10 0:00,2/2/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11366,73-72 194 STREET,194 STREET,73 AVENUE,75 AVENUE,,,ADDRESS,FRESH MEADOWS,,N/A,Closed,2/12/10 0:00,2/2/10 0:00,08 QUEENS,QUEENS,1045650,206824,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73414764,-73.77845013,"(40.734147641617156, -73.77845013086919)"
15722835,1/13/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,10306,31 NEW DORP PLAZA,NEW DORP PLAZA,NEW DORP LANE,ROSE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,2/12/10 0:00,1/13/10 0:00,02 STATEN ISLAND,STATEN ISLAND,951785,148437,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.57404181,-74.11686271,"(40.57404181098006, -74.11686270714883)"
15732264,1/14/10 0:00,2/2/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11103,44-14 NEWTOWN ROAD,NEWTOWN ROAD,44 STREET,45 STREET,,,ADDRESS,ASTORIA,,N/A,Closed,2/13/10 0:00,2/2/10 0:00,01 QUEENS,QUEENS,1008032,215875,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7591715,-73.91415515,"(40.75917149873549, -73.91415515190998)"
15739208,1/15/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11361,200-05 33 AVENUE,33 AVENUE,200 STREET,201 STREET,,,ADDRESS,BAYSIDE,,N/A,Assigned,2/14/10 0:00,1/19/10 0:00,11 QUEENS,QUEENS,1042892,219179,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76807761,-73.78829405,"(40.76807761026297, -73.7882940511507)"
15738478,1/15/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10003,338 EAST 20 STREET,EAST 20 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,2/14/10 0:00,1/19/10 0:00,06 MANHATTAN,MANHATTAN,989418,207284,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73562184,-73.98135189,"(40.735621837820496, -73.9813518917996)"
15737937,1/15/10 0:00,2/1/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11418,83-84 116 STREET,116 STREET,CURZON ROAD,84 AVENUE,,,ADDRESS,RICHMOND HILL,,N/A,Closed,2/14/10 0:00,2/1/10 0:00,09 QUEENS,QUEENS,1029808,195862,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70415543,-73.83568692,"(40.70415542981932, -73.83568692119815)"
15738098,1/15/10 0:00,2/1/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11355,41-82 MAIN STREET,MAIN STREET,SANFORD AVENUE,MAPLE AVENUE,,,ADDRESS,FLUSHING,,N/A,Closed,2/14/10 0:00,2/1/10 0:00,07 QUEENS,QUEENS,1031759,214739,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75595782,-73.82851703,"(40.7559578160306, -73.82851702649212)"
15744996,1/16/10 0:00,2/3/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11230,1552 EAST 16 STREET,EAST 16 STREET,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,N/A,Closed,2/15/10 0:00,2/3/10 0:00,14 BROOKLYN,BROOKLYN,995935,162154,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61174396,-73.95791432,"(40.61174395755995, -73.95791432018561)"
15746124,1/16/10 0:00,2/9/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10012,510 LAGUARDIA PLACE,LAGUARDIA PLACE,WEST HOUSTON STREET,BLEECKER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,2/15/10 0:00,2/9/10 0:00,02 MANHATTAN,MANHATTAN,984453,204401,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72771022,-73.99926759,"(40.72771021739767, -73.99926758581557)"
15748842,1/17/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10019,840 8 AVENUE,8 AVENUE,WEST 50 STREET,WEST 51 STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,2/16/10 0:00,1/19/10 0:00,05 MANHATTAN,MANHATTAN,988184,217147,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76269392,-73.98579886,"(40.76269392180764, -73.9857988630046)"
15753131,1/18/10 0:00,2/23/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11694,209 BEACH 125 STREET,BEACH 125 STREET,ROCKAWAY BEACH BOULEVARD,NEWPORT AVENUE,,,ADDRESS,ROCKAWAY PARK,,N/A,Closed,2/17/10 0:00,2/23/10 0:00,14 QUEENS,QUEENS,1027324,149788,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57770484,-73.84494004,"(40.57770483918848, -73.8449400446606)"
15749899,1/18/10 0:00,2/9/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10028,354 EAST 81 STREET,EAST 81 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,2/17/10 0:00,2/9/10 0:00,08 MANHATTAN,MANHATTAN,997315,221310,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7741115,-73.95282926,"(40.774111495646004, -73.95282926435026)"
15752419,1/18/10 0:00,2/3/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11214,2572 WEST 17 STREET,WEST 17 STREET,BAY 50 STREET,AVENUE Z,,,ADDRESS,BROOKLYN,,N/A,Closed,2/17/10 0:00,2/3/10 0:00,13 BROOKLYN,BROOKLYN,988143,152449,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.58511254,-73.98598424,"(40.5851125449743, -73.98598423524966)"
15752967,1/18/10 0:00,2/3/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11379,71-01 METROPOLITAN AVENUE,METROPOLITAN AVENUE,71 STREET,PLEASANTVIEW STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Closed,2/17/10 0:00,2/3/10 0:00,05 QUEENS,QUEENS,1016406,198797,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71227016,-73.88400955,"(40.71227015530269, -73.8840095472381)"
15752969,1/18/10 0:00,2/3/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11379,71-03 METROPOLITAN AVENUE,METROPOLITAN AVENUE,71 STREET,PLEASANTVIEW STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Closed,2/17/10 0:00,2/3/10 0:00,05 QUEENS,QUEENS,1016415,198799,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71227561,-73.88397707,"(40.712275612107305, -73.8839770736682)"
